Testing
Layout,mediumMaze,function,"bfs,prob=PositionSearchProblem"
Win Rate,1.0
Layout,bigMaze1,function,"ucs,prob=SingleFoodSearchProblem"
Path Cost,214
Time Taken,0.12326836585998535
Nodes Expanded,633
Average Score,296.0
Win Rate,1.0
Layout,bigMaze1,function,"astar,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,214
Time Taken,0.12022256851196289
Nodes Expanded,604
Average Score,296.0
Win Rate,1.0
Layout,bigMaze1,function,"bi,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,214
Time Taken,0.569495677947998
Nodes Expanded,602
Average Score,296.0
Win Rate,1.0
Layout,bigMaze2,function,"bfs,prob=SingleFoodSearchProblem"
Path Cost,194
Time Taken,0.09848833084106445
Nodes Expanded,551
Average Score,316.0
Win Rate,1.0
Layout,bigMaze2,function,"dfs,prob=SingleFoodSearchProblem"
Path Cost,194
Time Taken,0.07897162437438965
Nodes Expanded,434
Average Score,316.0
Win Rate,1.0
Layout,bigMaze2,function,"ucs,prob=SingleFoodSearchProblem"
Path Cost,194
Time Taken,0.13987040519714355
Nodes Expanded,551
Average Score,316.0
Win Rate,1.0
Layout,bigMaze2,function,"astar,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,194
Time Taken,0.11358809471130371
Nodes Expanded,513
Average Score,316.0
Win Rate,1.0
Layout,bigMaze2,function,"bi,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,194
Time Taken,0.6973192691802979
Nodes Expanded,620
Average Score,316.0
Win Rate,1.0
Layout,bigMaze3,function,"bfs,prob=SingleFoodSearchProblem"
Path Cost,26
Time Taken,0.028856277465820312
Nodes Expanded,89
Average Score,484.0
Win Rate,1.0
Layout,bigMaze3,function,"dfs,prob=SingleFoodSearchProblem"
Path Cost,26
Time Taken,0.20204782485961914
Nodes Expanded,610
Average Score,484.0
Win Rate,1.0
Layout,bigMaze3,function,"ucs,prob=SingleFoodSearchProblem"
Path Cost,26
Time Taken,0.028072357177734375
Nodes Expanded,89
Average Score,484.0
Win Rate,1.0
Layout,bigMaze3,function,"astar,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,26
Time Taken,0.01587533950805664
Nodes Expanded,66
Average Score,484.0
Win Rate,1.0
Layout,bigMaze3,function,"bi,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,26
Time Taken,0.07409071922302246
Nodes Expanded,45
Average Score,484.0
Win Rate,1.0
Layout,bigMaze4,function,"bfs,prob=SingleFoodSearchProblem"
Path Cost,141
Time Taken,0.17882251739501953
Nodes Expanded,517
Average Score,369.0
Win Rate,1.0
Layout,bigMaze4,function,"dfs,prob=SingleFoodSearchProblem"
Path Cost,141
Time Taken,0.11803030967712402
Nodes Expanded,358
Average Score,369.0
Win Rate,1.0
Layout,bigMaze4,function,"ucs,prob=SingleFoodSearchProblem"
Path Cost,141
Time Taken,0.20355725288391113
Nodes Expanded,517
Average Score,369.0
Win Rate,1.0
Layout,bigMaze4,function,"astar,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,141
Time Taken,0.1257174015045166
Nodes Expanded,488
Average Score,369.0
Win Rate,1.0
Layout,bigMaze4,function,"bi,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,141
Time Taken,0.7344098091125488
Nodes Expanded,583
Average Score,369.0
Win Rate,1.0
Layout,bigMaze5,function,"bfs,prob=SingleFoodSearchProblem"
Path Cost,150
Time Taken,0.11985421180725098
Nodes Expanded,476
Average Score,360.0
Win Rate,1.0
Layout,bigMaze5,function,"dfs,prob=SingleFoodSearchProblem"
Path Cost,150
Time Taken,0.10461926460266113
Nodes Expanded,421
Average Score,360.0
Win Rate,1.0
Layout,bigMaze5,function,"ucs,prob=SingleFoodSearchProblem"
Path Cost,150
Time Taken,0.1340930461883545
Nodes Expanded,476
Average Score,360.0
Win Rate,1.0
Layout,bigMaze5,function,"astar,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,150
Time Taken,0.1142730712890625
Nodes Expanded,459
Average Score,360.0
Win Rate,1.0
Layout,bigMaze5,function,"bi,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,150
Time Taken,0.7921304702758789
Nodes Expanded,637
Average Score,360.0
Win Rate,1.0
Layout,bigMaze6,function,"bfs,prob=SingleFoodSearchProblem"
Path Cost,20
Time Taken,0.017157554626464844
Nodes Expanded,71
Average Score,490.0
Win Rate,1.0
Layout,bigMaze6,function,"dfs,prob=SingleFoodSearchProblem"
Path Cost,20
Time Taken,0.0049135684967041016
Nodes Expanded,26
Average Score,490.0
Win Rate,1.0
Layout,bigMaze6,function,"ucs,prob=SingleFoodSearchProblem"
Path Cost,20
Time Taken,0.01358795166015625
Nodes Expanded,71
Average Score,490.0
Win Rate,1.0
Layout,bigMaze6,function,"astar,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,20
Time Taken,0.008077859878540039
Nodes Expanded,38
Average Score,490.0
Win Rate,1.0
Layout,bigMaze6,function,"bi,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,20
Time Taken,0.03368973731994629
Nodes Expanded,22
Average Score,490.0
Win Rate,1.0
Layout,bigMaze7,function,"bfs,prob=SingleFoodSearchProblem"
Path Cost,108
Time Taken,0.14776301383972168
Nodes Expanded,509
Average Score,402.0
Win Rate,1.0
Layout,bigMaze7,function,"dfs,prob=SingleFoodSearchProblem"
Path Cost,108
Time Taken,0.037802934646606445
Nodes Expanded,166
Average Score,402.0
Win Rate,1.0
Layout,bigMaze7,function,"ucs,prob=SingleFoodSearchProblem"
Path Cost,108
Time Taken,0.16779279708862305
Nodes Expanded,509
Average Score,402.0
Win Rate,1.0
Layout,bigMaze7,function,"astar,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,108
Time Taken,0.14379000663757324
Nodes Expanded,399
Average Score,402.0
Win Rate,1.0
Layout,bigMaze7,function,"bi,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,108
Time Taken,0.6330490112304688
Nodes Expanded,502
Average Score,402.0
Win Rate,1.0
Layout,bigMaze8,function,"bfs,prob=SingleFoodSearchProblem"
Path Cost,196
Time Taken,0.1815035343170166
Nodes Expanded,645
Average Score,314.0
Win Rate,1.0
Layout,bigMaze8,function,"dfs,prob=SingleFoodSearchProblem"
Path Cost,196
Time Taken,0.09090638160705566
Nodes Expanded,333
Average Score,314.0
Win Rate,1.0
Layout,bigMaze8,function,"ucs,prob=SingleFoodSearchProblem"
Path Cost,196
Time Taken,0.24725794792175293
Nodes Expanded,645
Average Score,314.0
Win Rate,1.0
Layout,bigMaze8,function,"astar,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,196
Time Taken,0.19358587265014648
Nodes Expanded,618
Average Score,314.0
Win Rate,1.0
Layout,bigMaze8,function,"bi,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,196
Time Taken,0.8000855445861816
Nodes Expanded,621
Average Score,314.0
Win Rate,1.0
Layout,bigMaze9,function,"bfs,prob=SingleFoodSearchProblem"
Path Cost,35
Time Taken,0.016953229904174805
Nodes Expanded,91
Average Score,475.0
Win Rate,1.0
Layout,bigMaze9,function,"dfs,prob=SingleFoodSearchProblem"
Path Cost,35
Time Taken,0.009968996047973633
Nodes Expanded,53
Average Score,475.0
Win Rate,1.0
Layout,bigMaze9,function,"ucs,prob=SingleFoodSearchProblem"
Path Cost,35
Time Taken,0.022922992706298828
Nodes Expanded,91
Average Score,475.0
Win Rate,1.0
Layout,bigMaze9,function,"astar,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,35
Time Taken,0.019015073776245117
Nodes Expanded,55
Average Score,475.0
Win Rate,1.0
Layout,bigMaze9,function,"bi,prob=SingleFoodSearchProblem,heuristic=manhattanHeuristicSingle"
Path Cost,35
Time Taken,0.10612034797668457
